time, BUSDUSDT, BUSDDAI, USDTDAI, USDCUSDT, ALL
12/21/20, 0(0.0), 0(0.0), 0(0.0), 0(0.0), 0(0.0)
12/30/20 11:11,7.3201(0.2072%),8.5679(0.2450%),11.8022(0.3341%),5.9567(0.1657%),33.6468(0.2377%),
12/31/20 09:30,7.4496(0.2109%),9.5178(0.2722%),12.4514(0.3525%),5.8204(0.1619%),35.2392(0.2489%),
01/01/21 13:22,4.3440(0.1230%),12.9361(0.1834%),13.6886(0.3875%),2.6262(0.0731%),33.5948(0.1897%),
01/01/21 20:32,2.9758(0.0842%),13.0402(0.1230%),13.4743(0.1903%),1.1610(0.0323%),30.6512(0.1235%),
01/02/21 12:35,2.8416(0.0804%),15.2392(0.1077%),14.5038(0.1366%),0.8919(0.0248%),33.4764(0.1050%),
01/04/21 13:24,6.1896(0.1752%),23.2221(0.1642%),23.1939(0.2184%),7.0589(0.1964%),59.6646(0.1871%),
01/05/21 10:58,11.6918(0.3310%),25.4834(0.1802%),26.9097(0.2534%),10.1419(0.2821%),74.2269(0.2328%),
01/06/21 11:07,9.9664(0.2821%),30.9143(0.2186%),29.3016(0.2759%),10.2333(0.2847%),80.4156(0.2522%),
01/07/21 16:58,13.7968(0.3905%),34.7319(0.2456%),34.4589(0.3245%),13.7262(0.3819%),96.7137(0.3033%),
01/08/21 11:16,15.9382(0.4512%),40.0692(0.2833%),38.7171(0.3646%),15.0280(0.4181%),109.7524(0.3441%),
01/08/21 18:59,-0.0001(-100.0000%),39.6604(0.2804%),42.5629(0.4008%),16.6804(0.4640%),98.9037(0.3488%),
1/09/21 09:00,-0.0001(-100.0000%),43.0767(0.3046%),44.9476(0.4232%),18.4803(0.5141%),106.5046(0.3756%),
1/10/21 09:01,-0.0001(-100.0000%),50.9058(0.3599%),43.7571(0.4120%),12.8278(0.3569%),107.4906(0.3790%),
01/11/21 09:02,-0.0001(-100.0000%),52.2592(0.3695%),49.3708(0.4649%),21.5595(0.5998%),123.1894(0.4344%),
01/12/21 09:00,-0.0001(-100.0000%),56.3911(0.3987%),59.2859(0.5582%),23.8753(0.6642%),139.5521(0.4921%),
01/13/21 09:00,-0.0001(-100.0000%),55.3495(0.3913%),62.9597(0.5928%),26.5040(0.7373%),144.8132(0.5107%),
01/14/21 09:00,0.1732(0.0049%),66.0035(0.4667%),68.0841(0.6411%),26.2443(0.7301%),160.5050(0.5030%),
01/15/21 09:00,2.5000(0.0704%),74.5711(0.5272%),78.0216(0.7347%),29.0371(0.8078%),184.1298(0.5770%),
01/16/21 09:00,2.4405(0.0687%),76.6774(0.5421%),76.7300(0.7225%),29.6397(0.8246%),185.4877(0.5813%),
01/17/21 09:00,2.9295(0.0825%),82.7375(0.5850%),81.8385(0.7706%),30.9125(0.8600%),198.4180(0.6218%),
01/18/21 09:00,4.1401(0.1166%),86.6245(0.6125%),84.9546(0.7999%),31.8807(0.8869%),207.5998(0.6506%),
01/19/21 09:00,4.0539(0.1141%),91.4886(0.6469%),88.3402(0.8318%),32.0818(0.8925%),215.9645(0.6768%),
01/20/21 09:00,5.4878(0.1545%),94.2671(0.6665%),89.8925(0.8464%),32.8243(0.9132%),222.4716(0.6972%),
01/21/21 09:00,6.7710(0.1907%),100.1076(0.7078%),94.9496(0.8941%),34.8301(0.9690%),236.6582(0.7416%),
01/22/21 09:00,9.4569(0.2663%),103.4040(0.7311%),100.1027(0.9426%),37.8214(1.0522%),250.7850(0.7859%),
01/23/21 09:00,8.7778(0.2472%),110.6590(0.7824%),103.0280(0.9701%),37.5370(1.0443%),260.0017(0.8148%),
01/24/21 09:00,9.0988(0.2562%),117.2650(0.8291%),108.0146(1.0171%),37.6445(1.0473%),272.0229(0.8525%),
01/25/21 09:00,8.6076(0.2424%),122.1057(0.8633%),111.1855(1.0469%),37.1859(1.0345%),279.0848(0.8746%),
01/26/21 09:00,12.2758(0.3457%),124.6377(0.8812%),113.5276(1.0690%),40.6458(1.1308%),291.0869(0.9122%),
01/27/21 09:00,11.7002(0.3295%),129.0145(0.9122%),115.4993(1.0875%),39.6792(1.1039%),295.8932(0.9273%),
01/28/21 09:00,10.2584(0.2889%),134.3087(0.9496%),117.6829(1.1081%),38.8507(1.0808%),301.1007(0.9436%),
01/29/21 14:36,9.4979(0.2674%),144.4131(1.0210%),122.5808(1.1542%),37.1138(0.6920%),313.6055(0.9312%),
01/30/21 09:00,16.0580(0.4522%),141.9724(1.0038%),122.1124(1.1498%),47.1378(0.8789%),327.2806(0.9718%),
01/31/21 09:00,14.9270(0.4203%),146.9405(1.0389%),125.5061(1.1818%),45.4416(0.8473%),332.8153(0.9882%),
02/01/21 09:00,15.9051(0.4479%),150.9145(1.0670%),130.6165(1.2299%),46.4946(0.8669%),343.9306(1.0212%),
02/02/21 09:00,19.1218(0.5384%),156.6876(1.1078%),145.3506(1.3686%),51.1333(0.9534%),372.2934(1.1054%),
02/03/21 09:00,18.6179(0.5242%),160.6351(1.1357%),143.7841(1.3539%),50.8733(0.9486%),373.9104(1.1102%),
02/04/21 09:00,7.9324(0.0740%),164.9573(1.1663%),140.7343(0.9951%),45.5392(0.4246%),359.1632(0.7222%),
02/05/21 09:00,15.0547(0.1405%),168.5610(1.1918%),149.0647(1.0540%),50.0356(0.4665%),382.7159(0.7696%),
02/05/21 10:36,19.5029(0.1820%),171.4310(1.2121%),151.9263(1.0742%),58.1007(0.5417%),400.9609(0.8063%),
02/06/21 09:00,17.8395(0.1664%),173.1334(1.2241%),156.1857(1.1043%),56.5902(0.5276%),403.7488(0.8119%),
02/07/21 09:00,15.6914(0.1464%),177.5345(1.2552%),156.8187(1.1088%),53.1093(0.4951%),403.1540(0.8107%),
02/08/21 09:00,18.4325(0.1720%),180.7987(1.2783%),158.6891(1.1220%),56.4457(0.5262%),414.3660(0.8332%),
02/09/21 09:00,27.6174(0.2577%),185.6367(1.3125%),170.4959(1.2055%),65.9354(0.6147%),449.6854(0.9042%),
02/10/21 09:00,27.9849(0.2611%),189.9777(1.3432%),173.9312(1.2298%),64.0920(0.5975%),455.9858(0.9169%),
02/11/21 09:00,34.4886(0.3218%),192.6775(1.3623%),174.4147(1.2332%),71.5020(0.6666%),473.0827(0.9513%),
02/12/21 09:00,35.3893(0.3302%),197.4679(1.3962%),184.5819(1.3051%),77.2369(0.7201%),494.6760(0.9947%),
02/13/21 09:00,29.3916(0.2742%),203.7330(1.4405%),185.7817(1.3136%),65.5188(0.6108%),484.4252(0.9741%),
02/14/21 09:00,39.1589(0.3654%),206.9308(1.4631%),193.3603(1.3672%),75.4904(0.7038%),514.9404(1.0355%),
02/15/21 09:00,43.1622(0.4027%),211.5687(1.4959%),198.1946(1.4013%),81.1179(0.7563%),534.0434(1.0739%),
02/16/21 09:00,50.1292(0.4677%),214.0117(1.5131%),202.3700(1.4309%),89.3880(0.8334%),555.8988(1.1178%),
02/17/21 09:00,57.8758(0.5400%),218.2938(1.5434%),208.4137(1.4736%),96.2656(0.8975%),580.8490(1.1680%),
02/18/21 09:00,58.0742(0.5418%),224.0144(1.5839%),214.0562(1.5135%),95.2073(0.8876%),591.3521(1.1891%),
02/19/21 09:00,66.8956(0.6241%),225.7623(1.5962%),217.5561(1.5382%),102.7376(0.9578%),612.9516(1.2325%),
02/20/21 09:00,68.7916(0.6418%),231.9689(1.6401%),221.6847(1.5674%),104.4311(0.9736%),626.8764(1.2605%),
