time, BUSDUSDT, BUSDDAI, USDTDAI, USDCUSDT, ALL
01/02/21 12:35,10.7627(0.0804%),10.3389(0.1077%),11.8565(0.1366%),9.2777(0.0248%),42.2358(0.1324%),x
01/04/21 13:24,13.0622(0.1752%),18.4604(0.1642%),20.9441(0.2184%),13.0539(0.1964%),65.5205(0.2055%),x
01/05/21 10:58,14.4821(0.3310%),22.8710(0.1802%),26.6650(0.2534%),14.7236(0.2821%),78.7417(0.2469%),x
01/06/21 11:07,15.7585(0.2821%),28.0752(0.2186%),30.8165(0.2759%),16.1040(0.2847%),90.7542(0.2846%),x
01/07/21 16:58,17.4766(0.4947%),32.3930(0.2290%),36.7774(0.3463%),17.7451(0.4937%),104.3921(0.3273%),
01/08/21 11:16,18.5121(0.5240%),37.0340(0.2618%),40.9216(0.3853%),18.9118(0.5261%),115.3795(0.3618%),
01/08/21 18:59,-0.0001(-100.0000%),37.0093(0.2617%),41.1584(0.3875%),18.9041(0.5259%),97.0716(0.3423%),
01/09/21 09:00,-0.0001(-100.0000%),41.6543(0.2945%),44.9476(0.4232%),19.8365(0.5518%),106.4383(0.3753%),
01/10/21 09:01,-0.0001(-100.0000%),47.5174(0.3360%),49.8872(0.4697%),21.6244(0.6016%),119.0289(0.4197%),
01/11/21 09:02,-0.0001(-100.0000%),51.6312(0.3650%),53.4485(0.5033%),21.5595(0.5998%),126.6390(0.4466%),
01/12/21 09:00,-0.0001(-100.0000%),52.9236(0.3742%),59.0472(0.5560%),24.0062(0.6678%),135.9770(0.4795%),
01/13/21 09:00,-0.0001(-100.0000%),58.0979(0.4108%),63.2887(0.5959%),25.7461(0.7162%),147.1326(0.5188%),
01/14/21 09:00,0.4494(0.0127%),62.8164(0.4441%),67.4030(0.6347%),26.6881(0.7425%),157.3569(0.4931%),
01/15/21 09:00,1.8842(0.0531%),71.0430(0.5023%),73.4311(0.6914%),28.4989(0.7928%),174.8572(0.5480%),
01/16/21 09:00,2.5725(0.0724%),74.9570(0.5300%),75.7303(0.7131%),29.6397(0.8246%),182.8995(0.5732%),
01/17/21 09:00,3.2104(0.0904%),79.2966(0.5607%),79.2119(0.7459%),30.9125(0.8600%),192.6313(0.6037%),
01/18/21 09:00,3.9901(0.1124%),83.6056(0.5911%),82.5727(0.7775%),31.8807(0.8869%),202.0491(0.6332%),
01/19/21 09:00,4.9315(0.1389%),88.0535(0.6226%),85.9500(0.8093%),33.0146(0.9185%),211.9495(0.6642%),
01/20/21 09:00,6.2695(0.1765%),93.1831(0.6588%),89.5433(0.8431%),34.4248(0.9577%),223.4207(0.7002%),
01/21/21 09:00,7.2407(0.2039%),97.6190(0.6902%),92.9864(0.8756%),35.3295(0.9829%),233.1756(0.7307%),
01/22/21 09:00,8.8506(0.2492%),102.1811(0.7225%),98.2891(0.9255%),37.1106(1.0324%),246.4314(0.7723%),
01/23/21 09:00,10.5156(0.2961%),108.0754(0.7641%),101.2719(0.9536%),39.0211(1.0856%),258.8840(0.8113%),
01/24/21 09:00,11.1029(0.3126%),113.3073(0.8011%),105.6566(0.9949%),39.7225(1.1051%),269.7894(0.8455%),
01/25/21 09:00,11.7876(0.3319%),118.2573(0.8361%),109.1472(1.0277%),40.4494(1.1253%),279.6415(0.8764%),
01/26/21 09:00,12.6471(0.3561%),122.1765(0.8638%),112.1352(1.0559%),41.2699(1.1481%),288.2288(0.9033%),
